medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
G,Lee CALHOUN,USA,Rome,1960,M,110M Hurdles,13.8,00:00:13.80,13.8,segundos
S,Willie MAY,USA,Rome,1960,M,110M Hurdles,13.8,00:00:13.80,13.8,segundos
B,Hayes JONES,USA,Rome,1960,M,110M Hurdles,14,00:00:14.00,14,segundos
G,Harrison DILLARD,USA,Helsinki,1952,M,110M Hurdles,13.7,00:00:13.70,13.7,segundos
S,Jack DAVIS,USA,Helsinki,1952,M,110M Hurdles,13.7,00:00:13.70,13.7,segundos
B,Arthur BARNARD,USA,Helsinki,1952,M,110M Hurdles,14.1,00:00:14.10,14.1,segundos
G,Forrest TOWNS,USA,Berlin,1936,M,110M Hurdles,14.2,00:00:14.20,14.2,segundos
S,Donald FINLAY,GBR,Berlin,1936,M,110M Hurdles,14.4,00:00:14.40,14.4,segundos
B,Fritz POLLARD,USA,Berlin,1936,M,110M Hurdles,14.4,00:00:14.40,14.4,segundos
G,Sidney ATKINSON,RSA,Amsterdam,1928,M,110M Hurdles,14.8,00:00:14.80,14.8,segundos
S,Steve ANDERSON,USA,Amsterdam,1928,M,110M Hurdles,14.8,00:00:14.80,14.8,segundos
B,John COLLIER,USA,Amsterdam,1928,M,110M Hurdles,14.9,00:00:14.90,14.9,segundos
G,Earl THOMSON,CAN,Antwerp,1920,M,110M Hurdles,14.8,00:00:14.80,14.8,segundos
S,Harold BARRON,USA,Antwerp,1920,M,110M Hurdles,15.1,00:00:15.10,15.1,segundos
B,Frederick MURRAY,USA,Antwerp,1920,M,110M Hurdles,15.1,00:00:15.10,15.1,segundos
G,Forrest SMITHSON,USA,London,1908,M,110M Hurdles,15,00:00:15.00,15,segundos
S,John GARRELLS,USA,London,1908,M,110M Hurdles,15.7,00:00:15.70,15.7,segundos
B,Arthur SHAW,USA,London,1908,M,110M Hurdles,,,,segundos
G,Alvin KRAENZLEIN,USA,Paris,1900,M,110M Hurdles,15.4,00:00:15.40,15.4,segundos
S,John MCLEAN,USA,Paris,1900,M,110M Hurdles,15.5,00:00:15.50,15.5,segundos
B,Frederick MOLONEY,USA,Paris,1900,M,110M Hurdles,15.6,00:00:15.60,15.6,segundos
G,Aries MERRITT,USA,London,2012,M,110M Hurdles,12.92,00:00:12.92,12.92,segundos
S,Jason RICHARDSON,USA,London,2012,M,110M Hurdles,13.04,00:00:13.04,13.04,segundos
B,Hansle PARCHMENT,JAM,London,2012,M,110M Hurdles,13.12,00:00:13.12,13.12,segundos
G,Xiang LIU,CHN,Athens,2004,M,110M Hurdles,12.91,00:00:12.91,12.91,segundos
S,Terrence TRAMMELL,USA,Athens,2004,M,110M Hurdles,13.18,00:00:13.18,13.18,segundos
B,Anier GARCIA,CUB,Athens,2004,M,110M Hurdles,13.2,00:00:13.20,13.2,segundos
G,Allen JOHNSON,USA,Atlanta,1996,M,110M Hurdles,12.95,00:00:12.95,12.95,segundos
S,Mark CREAR,USA,Atlanta,1996,M,110M Hurdles,13.09,00:00:13.09,13.09,segundos
B,Florian SCHWARTHOFF,GER,Atlanta,1996,M,110M Hurdles,13.17,00:00:13.17,13.17,segundos
G,Thomas MUNKELT,GDR,Moscow,1980,M,110M Hurdles,13.39,00:00:13.39,13.39,segundos
S,Alejandro CASAÃAS,CUB,Moscow,1980,M,110M Hurdles,13.4,00:00:13.40,13.4,segundos
B,Aleksandr PUCHKOV,URS,Moscow,1980,M,110M Hurdles,13.44,00:00:13.44,13.44,segundos
G,Rod MILBURN,USA,Munich,1972,M,110M Hurdles,13.24,00:00:13.24,13.24,segundos
S,Guy DRUT,FRA,Munich,1972,M,110M Hurdles,13.34,00:00:13.34,13.34,segundos
B,Thomas HILL,USA,Munich,1972,M,110M Hurdles,13.48,00:00:13.48,13.48,segundos
G,Hayes JONES,USA,Tokyo,1964,M,110M Hurdles,13.6,00:00:13.60,13.6,segundos
S,Blaine LINDGREN,USA,Tokyo,1964,M,110M Hurdles,13.7,00:00:13.70,13.7,segundos
B,Anatoly MIKHAYLOV,URS,Tokyo,1964,M,110M Hurdles,13.7,00:00:13.70,13.7,segundos
G,Lee CALHOUN,USA,Melbourne / Stockholm,1956,M,110M Hurdles,13.5,00:00:13.50,13.5,segundos
S,Jack DAVIS,USA,Melbourne / Stockholm,1956,M,110M Hurdles,13.5,00:00:13.50,13.5,segundos
B,Joel SHANKLE,USA,Melbourne / Stockholm,1956,M,110M Hurdles,14.1,00:00:14.10,14.1,segundos
G,Bill PORTER,USA,London,1948,M,110M Hurdles,13.9,00:00:13.90,13.9,segundos
S,Clyde SCOTT,USA,London,1948,M,110M Hurdles,14.1,00:00:14.10,14.1,segundos
B,Craig DIXON,USA,London,1948,M,110M Hurdles,14.1,00:00:14.10,14.1,segundos
G,George SALING,USA,Los Angeles,1932,M,110M Hurdles,14.6,00:00:14.60,14.6,segundos
S,Percy BEARD,USA,Los Angeles,1932,M,110M Hurdles,14.7,00:00:14.70,14.7,segundos
B,Donald FINLAY,GBR,Los Angeles,1932,M,110M Hurdles,14.8,00:00:14.80,14.8,segundos
G,Daniel KINSEY,USA,Paris,1924,M,110M Hurdles,15,00:00:15.00,15,segundos
S,Sidney ATKINSON,RSA,Paris,1924,M,110M Hurdles,15,00:00:15.00,15,segundos
B,Sten PETTERSSON,SWE,Paris,1924,M,110M Hurdles,15.4,00:00:15.40,15.4,segundos
G,Frederick KELLY,USA,Stockholm,1912,M,110M Hurdles,15.1,00:00:15.10,15.1,segundos
S,James WENDELL,USA,Stockholm,1912,M,110M Hurdles,15.2,00:00:15.20,15.2,segundos
B,Martin HAWKINS,USA,Stockholm,1912,M,110M Hurdles,15.3,00:00:15.30,15.3,segundos
G,Frederick SCHULE,USA,St Louis,1904,M,110M Hurdles,16,00:00:16.00,16,segundos
S,Thaddeus SHIDELER,USA,St Louis,1904,M,110M Hurdles,16.3,00:00:16.30,16.3,segundos
B,Lesley ASHBURNER,USA,St Louis,1904,M,110M Hurdles,16.4,00:00:16.40,16.4,segundos
G,Thomas CURTIS,USA,Athens,1896,M,110M Hurdles,17.6,00:00:17.60,17.6,segundos
S,Grantley GOULDING,GBR,Athens,1896,M,110M Hurdles,17.7,00:00:17.70,17.7,segundos
G,Matthew CENTROWITZ,USA,Rio,2016,M,1500M,3:50.00,00:03:50.00,230,segundos
S,Taoufik MAKHLOUFI,ALG,Rio,2016,M,1500M,3:50.11,00:03:50.11,230.11,segundos
B,Nicholas WILLIS,NZL,Rio,2016,M,1500M,3:50.24,00:03:50.24,230.24,segundos
G,Asbel Kipruto KIPROP,KEN,Beijing,2008,M,1500M,3:33.11,00:03:33.11,213.11,segundos
S,Nicholas WILLIS,NZL,Beijing,2008,M,1500M,3:34.16,00:03:34.16,214.16,segundos
B,Medhi BAALA,FRA,Beijing,2008,M,1500M,3:34.21,00:03:34.21,214.21,segundos
G,Noah Kiprono NGENYI,KEN,Sydney,2000,M,1500M,03:32.07,00:03:32.07,212.07,segundos
S,Hicham EL GUERROUJ,MAR,Sydney,2000,M,1500M,03:32.32,00:03:32.32,212.32,segundos
B,Bernard LAGAT,KEN,Sydney,2000,M,1500M,03:32.44,00:03:32.44,212.44,segundos
G,Fermin CACHO RUIZ,ESP,Barcelona,1992,M,1500M,3:40.12,00:03:40.12,220.12,segundos
S,Rachid EL BASIR,MAR,Barcelona,1992,M,1500M,3:40.62,00:03:40.62,220.62,segundos
B,Mohamed Ahmed SULAIMAN,QAT,Barcelona,1992,M,1500M,3:40.69,00:03:40.69,220.69,segundos
G,Sebastian COE,GBR,Los Angeles,1984,M,1500M,3:32.53,00:03:32.53,212.53,segundos
S,Steve CRAM,GBR,Los Angeles,1984,M,1500M,3:33.40,00:03:33.40,213.4,segundos
B,JosÃ© Manuel ABASCAL,ESP,Los Angeles,1984,M,1500M,3:34.30,00:03:34.30,214.3,segundos
G,John George WALKER,NZL,Montreal,1976,M,1500M,3:39.17,00:03:39.17,219.17,segundos
S,Ivo VAN DAMME,BEL,Montreal,1976,M,1500M,3:39.27,00:03:39.27,219.27,segundos
B,Paul-Heinz WELLMANN,FRG,Montreal,1976,M,1500M,3:39.33,00:03:39.33,219.33,segundos
G,Kip KEINO,KEN,Mexico,1968,M,1500M,3:34.9,03:34.9,,segundos
S,Jim RYUN,USA,Mexico,1968,M,1500M,3:37.8,03:37.8,,segundos
B,Bodo TÃMMLER,FRG,Mexico,1968,M,1500M,3:39.0,03:39.0,,segundos
